啊	ɑ
或	ɦuəˀ¹²
获	ɦuəˀ¹²
惑	ɦuəˀ¹²
珲	ɦuəŋ⁵³
浑	ɦuəŋ⁵³
馄	ɦuəŋ⁵³
魂	ɦuəŋ⁵³
诨	ɦuəŋ³⁴
混	ɦuəŋ²³
溷	ɦuəŋ³⁴
滑	ɦuɑˀ¹²
猾	ɦuɑˀ¹²
磆	ɦuɑˀ¹²
划	ɦuɑˀ¹²
徊	ɦuɛ⁵³
回	ɦuɛ⁵³
囘	ɦuɛ⁵³
囬	ɦuɛ⁵³
洄	ɦuɛ⁵³
茴	ɦuɛ⁵³
蛔	ɦuɛ⁵³
汇	ɦuɛ³⁴
会	ɦuɛ³⁴
绘	ɦuɛ³⁴
彗	ɦuɛ³⁴
惠	ɦuɛ³⁴
慧	ɦuɛ³⁴
蕙	ɦuɛ³⁴
蟪	ɦuɛ³⁴
危	ɦuɛ⁵³
巍	ɦuɛ⁵³
囗	ɦuɛ⁵³
为	ɦuɛ⁵³
为	ɦuɛ³⁴
韦	ɦuɛ⁵³
帏	ɦuɛ⁵³
沩	ɦuɛ⁵³
违	ɦuɛ⁵³
闱	ɦuɛ⁵³
桅	ɦuɛ⁵³
涠	ɦuɛ⁵³
嵬	ɦuɛ⁵³
伟	ɦuɛ²³
伪	ɦuɛ²³
纬	ɦuɛ²³
苇	ɦuɛ²³
炜	ɦuɛ²³
玮	ɦuɛ²³
洧	ɦuɛ²³
隗	ɦuɛ²³
韪	ɦuɛ²³
鲔	ɦuɛ²³
卫	ɦuɛ³⁴
位	ɦuɛ³⁴
胃	ɦuɛ³⁴
軎	ɦuɛ³⁴
谓	ɦuɛ³⁴
渭	ɦuɛ³⁴
猬	ɦuɛ³⁴
磑	ɦuɛ³⁴
魏	ɦuɛ³⁴
阢	ɦuɛ⁵³
圩	ɦy⁵³
围	ɦy⁵³
渝	ɦy⁵³
于	ɦy⁵³
予	ɦy⁵³
余	ɦy⁵³
欤	ɦy⁵³
盂	ɦy⁵³
臾	ɦy⁵³
竽	ɦy⁵³
狳	ɦy⁵³
谀	ɦy⁵³
馀	ɦy⁵³
渔	ɦy⁵³
萸	ɦy⁵³
雩	ɦy⁵³
嵛	ɦy⁵³
愉	ɦy⁵³
腴	ɦy⁵³
逾	ɦy⁵³
榆	ɦy⁵³
瑜	ɦy⁵³
觎	ɦy⁵³
窬	ɦy⁵³
舆	ɦy⁵³
蝓	ɦy⁵³
与	ɦy²³
宇	ɦy²³
屿	ɦy²³
羽	ɦy²³
雨	ɦy²³
禹	ɦy²³
庾	ɦy²³
瘐	ɦy⁵³
窳	ɦy²³
吁	ɦy³⁴
芋	ɦy³⁴
预	ɦy³⁴
谕	ɦy³⁴
喻	ɦy³⁴
裕	ɦy³⁴
愈	ɦy³⁴
蓣	ɦy³⁴
誉	ɦy³⁴
豫	ɦy³⁴
月	ɦyɪˀ¹²
穴	ɦyɪˀ¹²
役	ɦyɪˀ¹²
疫	ɦyɪˀ¹²
聿	ɦyɪˀ¹²
域	ɦyɪˀ¹²
燏	ɦyɪˀ¹²
曰	ɦyɪˀ¹²
悦	ɦyɪˀ¹²
钺	ɦyɪˀ¹²
阅	ɦyɪˀ¹²
粤	ɦyɪˀ¹²
越	ɦyɪˀ¹²
县	ɦyø³⁴
玄	ɦyø⁵³
悬	ɦyø⁵³
泫	ɦyø²³
炫	ɦyø³⁴
眩	ɦyø³⁴
铉	ɦyø²³
眴	ɦyø³⁴
鸢	ɦyø⁵³
员	ɦyø⁵³
园	ɦyø⁵³
垣	ɦyø⁵³
爰	ɦyø⁵³
圆	ɦyø⁵³
袁	ɦyø⁵³
援	ɦyø⁵³
缘	ɦyø⁵³
猿	ɦyø⁵³
辕	ɦyø⁵³
圜	ɦyø⁵³
橼	ɦyø⁵³
远	ɦyø²³
院	ɦyø³⁴
媛	ɦyø³⁴
掾	ɦyø³⁴
瑗	ɦyø³⁴
兖	ɦyn²³
员	ɦyn⁵³
云	ɦyn⁵³
匀	ɦyn⁵³
纭	ɦyn⁵³
芸	ɦyn⁵³
昀	ɦyn⁵³
郧	ɦyn³⁴
耘	ɦyn⁵³
狁	ɦyn²³
陨	ɦyn²³
殒	ɦyn²³
孕	ɦyn³⁴
运	ɦyn³⁴
郓	ɦyn³⁴
晕	ɦyn³⁴
韵	ɦyn³⁴
绗	ɦɑ̃⁵³
桁	ɦɑ̃⁵³
珩	ɦɑ̃⁵³
蘅	ɦɑ̃⁵³
行	ɦɑ̃⁵³
杏	ɦɑ̃²³
荇	ɦɑ̃²³
撖	ɦɛ²³
闲	ɦɛ⁵³
咸	ɦɛ⁵³
衔	ɦɛ⁵³
痫	ɦɛ⁵³
鹇	ɦɛ⁵³
限	ɦɛ²³
陷	ɦɛ³⁴
馅	ɦɛ³⁴
痕	ɦəŋ⁵³
很	ɦəŋ²³
狠	ɦəŋ²³
恨	ɦəŋ³⁴
恒	ɦəŋ⁵³
衡	ɦəŋ⁵³
酣	ɦø⁵³
邗	ɦø⁵³
含	ɦø⁵³
邯	ɦø⁵³
函	ɦø⁵³
晗	ɦø⁵³
涵	ɦø⁵³
焓	ɦø⁵³
寒	ɦø⁵³
韩	ɦø⁵³
汗	ɦø³⁴
旱	ɦø²³
悍	ɦø³⁴
捍	ɦø³⁴
焊	ɦø³⁴
菡	ɦø²³
颔	ɦø²³
憾	ɦø³⁴
撼	ɦø²³
翰	ɦø³⁴
瀚	ɦø³⁴
扬	ɦiɑ̃⁵³
羊	ɦiɑ̃⁵³
阳	ɦiɑ̃⁵³
杨	ɦiɑ̃⁵³
炀	ɦiɑ̃⁵³
佯	ɦiɑ̃⁵³
疡	ɦiɑ̃⁵³
徉	ɦiɑ̃⁵³
洋	ɦiɑ̃⁵³
烊	ɦiɑ̃⁵³
蛘	ɦiɑ̃⁵³
养	ɦiɑ̃²³
氧	ɦiɑ̃²³
痒	ɦiɑ̃²³
恙	ɦiɑ̃³⁴
样	ɦiɑ̃³⁴
漾	ɦiɑ̃³⁴
迥	ɦioŋ²³
肜	ɦioŋ⁵³
荣	ɦioŋ⁵³
容	ɦioŋ⁵³
嵘	ɦioŋ⁵³
溶	ɦioŋ⁵³
蓉	ɦioŋ⁵³
榕	ɦioŋ⁵³
熔	ɦioŋ⁵³
蝾	ɦioŋ⁵³
融	ɦioŋ⁵³
雄	ɦioŋ⁵³
熊	ɦioŋ⁵³
茔	ɦioŋ⁵³
荥	ɦioŋ⁵³
蓥	ɦioŋ⁵³
佣	ɦioŋ³⁴
庸	ɦioŋ⁵³
墉	ɦioŋ⁵³
慵	ɦioŋ⁵³
镛	ɦioŋ⁵³
鳙	ɦioŋ⁵³
用	ɦioŋ³⁴
刑	ɦiɲ⁵³
邢	ɦiɲ⁵³
形	ɦiɲ⁵³
陉	ɦiɲ⁵³
型	ɦiɲ⁵³
硎	ɦiɲ⁵³
幸	ɦiɲ²³
悻	ɦiɲ²³
寅	ɦiɲ⁵³
淫	ɦiɲ⁵³
夤	ɦiɲ⁵³
霪	ɦiɲ⁵³
尹	ɦiɲ²³
引	ɦiɲ²³
吲	ɦiɲ²³
蚓	ɦiɲ²³
胤	ɦiɲ³⁴
盈	ɦiɲ⁵³
荧	ɦiɲ⁵³
莹	ɦiɲ⁵³
萤	ɦiɲ⁵³
营	ɦiɲ⁵³
楹	ɦiɲ⁵³
潆	ɦiɲ⁵³
蝇	ɦiɲ⁵³
嬴	ɦiɲ⁵³
赢	ɦiɲ⁵³
瀛	ɦiɲ⁵³
郢	ɦiɲ²³
颍	ɦiɲ²³
颖	ɦiɲ²³
媵	ɦiɲ³⁴
纥	ɦiɪˀ¹²
龁	ɦiɪˀ¹²
檄	ɦiɪˀ¹²
协	ɦiɪˀ¹²
挟	ɦiɪˀ¹²
勰	ɦiɪˀ¹²
撷	ɦiɪˀ¹²
缬	ɦiɪˀ¹²
叶	ɦiɪˀ¹²
页	ɦiɪˀ¹²
晔	ɦiɪˀ¹²
烨	ɦiɪˀ¹²
掖	ɦiɪˀ¹²
液	ɦiɪˀ¹²
腋	ɦiɪˀ¹²
弋	ɦiɪˀ¹²
亦	ɦiɪˀ¹²
佚	ɦiɪˀ¹²
译	ɦiɪˀ¹²
佾	ɦiɪˀ¹²
峄	ɦiɪˀ¹²
怿	ɦiɪˀ¹²
易	ɦiɪˀ¹²
绎	ɦiɪˀ¹²
驿	ɦiɪˀ¹²
奕	ɦiɪˀ¹²
弈	ɦiɪˀ¹²
轶	ɦiɪˀ¹²
埸	ɦiɪˀ¹²
翊	ɦiɪˀ¹²
翌	ɦiɪˀ¹²
豛	ɦiɪˀ¹²
逸	ɦiɪˀ¹²
蜴	ɦiɪˀ¹²
熠	ɦiɪˀ¹²
镒	ɦiɪˀ¹²
翼	ɦiɪˀ¹²
拽	ɦiɪˀ¹²
繇	ɦiɤ⁵³
攸	ɦiɤ⁵³
尢	ɦiɤ⁵³
尤	ɦiɤ⁵³
由	ɦiɤ⁵³
犹	ɦiɤ⁵³
邮	ɦiɤ⁵³
油	ɦiɤ⁵³
柚	ɦiɤ³⁴
疣	ɦiɤ⁵³
莸	ɦiɤ⁵³
铀	ɦiɤ⁵³
蚰	ɦiɤ⁵³
游	ɦiɤ⁵³
鱿	ɦiɤ⁵³
猷	ɦiɤ⁵³
蝣	ɦiɤ⁵³
友	ɦiɤ²³
有	ɦiɤ²³
卣	ɦiɤ²³
酉	ɦiɤ²³
莠	ɦiɤ²³
铕	ɦiɤ²³
牖	ɦiɤ²³
又	ɦiɤ³⁴
右	ɦiɤ³⁴
佑	ɦiɤ³⁴
侑	ɦiɤ³⁴
囿	ɦiɤ³⁴
宥	ɦiɤ³⁴
祐	ɦiɤ³⁴
诱	ɦiɤ²³
釉	ɦiɤ³⁴
鼬	ɦiɤ³⁴
侯	ɦɤ⁵³
喉	ɦɤ⁵³
猴	ɦɤ⁵³
瘊	ɦɤ⁵³
篌	ɦɤ⁵³
糇	ɦɤ⁵³
骺	ɦɤ⁵³
后	ɦɤ²³
厚	ɦɤ²³
後	ɦɤ²³
逅	ɦɤ³⁴
候	ɦɤ³⁴
堠	ɦɤ³⁴
鲎	ɦɤ³⁴
犄	i⁵³
衣	i⁵³
医	i⁵³
依	i⁵³
咿	i⁵³
猗	i⁵³
铱	i⁵³
欹	i⁵³
漪	i⁵³
噫	i⁵³
黟	i⁵³
已	i²³
以	i²³
苡	i²³
倚	i²³
椅	i²³
旖	i²³
忆	i³⁴
意	i³⁴
瘗	i³⁴
殪	i³⁴
瞖	i³⁴
薏	i³⁴
翳	i³⁴
臆	i³⁴
癔	i³⁴
镱	i³⁴
懿	i³⁴
哟	iɑˀ⁵⁵
约	iɑˀ⁵⁵
唷	ioˀ⁵⁵
育	ioˀ⁵⁵
昱	ioˀ⁵⁵
峪	ioˀ⁵⁵
浴	ioˀ⁵⁵
欲	ioˀ⁵⁵
鹆	ioˀ⁵⁵
煜	ioˀ⁵⁵
毓	ioˀ⁵⁵
鬻	ioˀ⁵⁵
幺	iɔ⁵³
夭	iɔ⁵³
吆	iɔ⁵³
妖	iɔ⁵³
腰	iɔ⁵³
邀	iɔ⁵³
杳	iɔ²³
窈	iɔ²³
崾	iɔ²³
要	iɔ³⁴
嗌	iɪˀ⁵⁵
搕	iɪˀ⁵⁵
咽	iɪˀ⁵⁵
噎	iɪˀ⁵⁵
谒	iɪˀ⁵⁵
靥	iɪˀ⁵⁵
一	iɪˀ⁵⁵
壹	iɪˀ⁵⁵
揖	iɪˀ⁵⁵
乙	iɪˀ⁵⁵
钇	iɪˀ⁵⁵
抑	iɪˀ⁵⁵
邑	iɪˀ⁵⁵
悒	iɪˀ⁵⁵
挹	iɪˀ⁵⁵
益	iɪˀ⁵⁵
溢	iɪˀ⁵⁵
缢	iɪˀ⁵⁵
窨	in³⁴
因	in⁵³
阴	in⁵³
姻	in⁵³
洇	in⁵³
茵	in⁵³
荫	in⁵³
音	in⁵³
殷	in⁵³
氤	in⁵³
铟	in⁵³
喑	in⁵³
堙	in⁵³
饮	in²³
隐	in²³
瘾	in²³
印	in³⁴
茚	in³⁴
应	in⁵³
英	in⁵³
莺	in⁵³
婴	in⁵³
瑛	in⁵³
撄	in⁵³
缨	in⁵³
罂	in⁵³
璎	in⁵³
膺	in⁵³
鹰	in⁵³
萦	in⁵³
滢	in³⁴
影	in²³
瘿	in²³
映	in³⁴
旮	kɑ⁵³
尕	kɑ²³
尬	kɑ³⁴
嘏	kɑ²³
加	kɑ⁵³
迦	kɑ⁵³
枷	kɑ⁵³
珈	kɑ⁵³
家	kɑ⁵³
痂	kɑ⁵³
笳	kɑ⁵³
袈	kɑ⁵³
葭	kɑ⁵³
跏	kɑ⁵³
嘉	kɑ⁵³
镓	kɑ⁵³
价	kɑ³⁴
驾	kɑ³⁴
架	kɑ³⁴
假	kɑ³⁴
嫁	kɑ³⁴
稼	kɑ³⁴
阶	kɑ⁵³
喈	kɑ⁵³
街	kɑ⁵³
解	kɑ²³
介	kɑ³⁴
庎	kɑ³⁴
戒	kɑ³⁴
芥	kɑ³⁴
届	kɑ³⁴
界	kɑ³⁴
疥	kɑ³⁴
蚧	kɑ³⁴
廨	kɑ³⁴
尴	kɛ⁵³
奸	kɛ⁵³
间	kɛ⁵³
监	kɛ⁵³
拣	kɛ²³
减	kɛ²³
硷	kɛ²³
裥	kɛ²³
锏	kɛ²³
碱	kɛ²³
涧	kɛ³⁴
鉴	kɛ³⁴
皋	kɔ⁵³
羔	kɔ⁵³
高	kɔ⁵³
槔	kɔ⁵³
睾	kɔ⁵³
膏	kɔ⁵³
篙	kɔ⁵³
糕	kɔ⁵³
缟	kɔ²³
槁	kɔ²³
稿	kɔ²³
镐	kɔ²³
藁	kɔ²³
告	kɔ³⁴
诰	kɔ³⁴
郜	kɔ³⁴
锆	kɔ³⁴
茭	kɔ⁵³
胶	kɔ⁵³
跤	kɔ⁵³
鲛	kɔ⁵³
绞	kɔ²³
铰	kɔ²³
教	kɔ³⁴
窖	kɔ³⁴
酵	kɔ³⁴
校	kɔ³⁴
更	kəŋ⁵³
冈	kɑ̃⁵³
刚	kɑ̃⁵³
岗	kɑ̃⁵³
纲	kɑ̃⁵³
肛	kɑ̃⁵³
缸	kɑ̃⁵³
钢	kɑ̃⁵³
罡	kɑ̃⁵³
港	kɑ̃²³
杠	kɑ̃³⁴
江	kɑ̃⁵³
茳	kɑ̃⁵³
豇	kɑ̃⁵³
讲	kɑ̃²³
降	kɑ̃³⁴
洚	kɑ̃³⁴
扛	kɑ̃⁵³
勾	kɤ⁵³	
沟	kɤ⁵³
钩	kɤ⁵³
缑	kɤ⁵³
篝	kɤ⁵³
鞲	kɤ⁵³
岣	kɤ²³
狗	kɤ²³
苟	kɤ²³
枸	kɤ²³
笱	kɤ²³
构	kɤ³⁴
诟	kɤ²³
购	kɤ³⁴
垢	kɤ³⁴
够	kɤ³⁴
媾	kɤ³⁴
彀	kɤ⁵³
遘	kɤ³⁴
觏	kɤ³⁴
耩	kɤ⁵³
呴	kɤ³⁴
干	kø⁵³
甘	kø⁵³
杆	kø⁵³
肝	kø⁵³
坩	kø⁵³
泔	kø⁵³
苷	kø⁵³
柑	kø⁵³
竿	kø⁵³
疳	kø⁵³
秆	kø²³
赶	kø²³
敢	kø²³
感	kø²³
澉	kø²³
橄	kø²³
擀	kø²³
矸	kø³⁴
绀	kø³⁴
淦	kø³⁴
赣	kø³⁴
尴	kɛ⁵³
奸	kɛ⁵³
间	kɛ⁵³
监	kɛ⁵³
拣	kɛ²³
减	kɛ²³
硷	kɛ²³
裥	kɛ²³
锏	kɛ²³
碱	kɛ²³
涧	kɛ³⁴
鉴	kɛ³⁴
葛	kəˀ⁵⁵
噶	kəˀ⁵⁵
疙	kəˀ⁵⁵
鸽	kəˀ⁵⁵
割	kəˀ⁵⁵
蛤	kəˀ⁵⁵
虼	kəˀ⁵⁵
铪	kəˀ⁵⁵
颌	kəˀ⁵⁵
嗑	kəˀ⁵⁵
旮	ka⁵³
尕	ka²³
尬	ka³⁴
嘏	ka²³
加	ka⁵³
佳	ka⁵³
迦	ka⁵³
枷	ka⁵³
珈	ka⁵³
家	ka⁵³
痂	ka⁵³
笳	ka⁵³
袈	ka⁵³
葭	ka⁵³
跏	ka⁵³
嘉	ka⁵³
镓	ka⁵³
瘕	ka²³
价	ka³⁴
驾	ka³⁴
架	ka³⁴
假	ka²³
假	ka³⁴
嫁	ka³⁴
稼	ka³⁴
阶	ka⁵³
喈	ka⁵³
街	ka⁵³
解	ka²³
介	ka³⁴
庎	ka³⁴
戒	ka³⁴
芥	ka³⁴
届	ka³⁴
界	ka³⁴
疥	ka³⁴
蚧	ka³⁴
廨	ka³⁴
咔	kʰa²³
咖	kʰa⁵³
卡	kʰa²³
佧	kʰa²³
胩	kʰa²³
揩	kʰa⁵³
蒈	kʰa²³
楷	kʰa²³
锴	kʰa²³
髂	kʰa³⁴
疘	koŋ⁵³
工	koŋ⁵³
弓	koŋ⁵³
公	koŋ⁵³
功	koŋ⁵³
攻	koŋ⁵³
供	koŋ⁵³
肱	koŋ⁵³
宫	koŋ⁵³
恭	koŋ⁵³
蚣	koŋ⁵³
躬	koŋ⁵³
巩	koŋ²³
汞	koŋ²³
拱	koŋ²³
贡	koŋ³⁴
胳	koˀ⁵⁵
袼	koˀ⁵⁵
搁	koˀ⁵⁵
阁	koˀ⁵⁵
各	koˀ⁵⁵
铬	koˀ⁵⁵
毂	koˀ⁵⁵
谷	koˀ⁵⁵
榖	koˀ⁵⁵
梏	koˀ⁵⁵
牿	koˀ⁵⁵
郭	koˀ⁵⁵
崞	koˀ⁵⁵
国	koˀ⁵⁵
椁	koˀ⁵⁵
漷	koˀ⁵⁵
角	koˀ⁵⁵
觉	koˀ⁵⁵
桷	koˀ⁵⁵
咯	koˀ⁵⁵
瓜	ko⁵³
剐	ko²³
寡	ko²³
卦	ko³⁴
诖	ko³⁴
挂	ko³⁴
褂	ko³⁴
蜗	ko⁵³
刮	kuɑˀ⁵⁵
鸹	kuɑˀ⁵⁵
啯	kuɑˀ⁵⁵
掴	kuɑˀ⁵⁵
虢	kuɑˀ⁵⁵
括	kuɑˀ⁵⁵
栝	kuɑˀ⁵⁵
戈	ku⁵³
哥	ku⁵³
歌	ku⁵³
哿	ku²³
舸	ku²³
个	ku³⁴
估	ku²³
咕	ku⁵³
姑	ku⁵³
孤	ku⁵³
沽	ku⁵³
轱	ku⁵³
鸪	ku⁵³
菇	ku⁵³
菰	ku⁵³
蛄	ku⁵³
觚	ku⁵³
辜	ku⁵³
酤	ku⁵³
箍	ku⁵³
古	ku²³
诂	ku²³
股	ku²³
牯	ku²³
罟	ku²³
钴	ku²³
蛊	ku²³
鼓	ku²³
臌	ku²³
固	ku³⁴
故	ku³⁴
顾	ku³⁴
崮	ku³⁴
雇	ku³⁴
痼	ku³⁴
锢	ku³⁴
鲴	ku³⁴
胍	ku⁵³
埚	ku⁵³
锅	ku⁵³
果	ku²³
猓	ku²³
蜾	ku²³
裹	ku²³
过	ku³⁴
贾	ku²³
锞	ku²³
呱	kuɑ⁵³
乖	kuɑ⁵³
拐	kuɑ²³
怪	kuɑ³⁴
娲	kuɑ⁵³
光	kuɑ̃⁵³
咣	kuɑ̃⁵³
桄	kuɑ̃⁵³
胱	kuɑ̃⁵³
广	kuɑ̃²³
犷	kuɑ̃²³
诳	kuɑ̃³⁴
邝	kuɑ̃²³
惯	kuɛ³⁴
关	kuɛ⁵³
鳏	kuɛ⁵³
鹘	kuəˀ⁵⁵
汩	kuəˀ⁵⁵
骨	kuəˀ⁵⁵
聒	kuəˀ⁵⁵
蝈	kuəˀ⁵⁵
帼	kuəˀ⁵⁵
馘	kuəˀ⁵⁵
丨	kuəŋ²³
衮	kuəŋ²³
绲	kuəŋ²³
辊	kuəŋ²³
滚	kuəŋ²³
磙	kuəŋ²³
鲧	kuəŋ²³
棍	kuəŋ³⁴
锟	kuəŋ⁵³
咔	kʰa²³
咖	kʰa⁵³
卡	kʰa²³
佧	kʰa²³
胩	kʰa²³
揩	kʰa⁵³
蒈	kʰa²³
楷	kʰa²³
锴	kʰa²³
髂	kʰa³⁴
咭	kʰɑˀ⁵⁵
袷	kʰɑˀ⁵⁵
喀	kʰɑˀ⁵⁵
揢	kʰɑˀ⁵⁵
客	kʰɑˀ⁵⁵
缂	kʰɑˀ⁵⁵
掐	kʰɑˀ⁵⁵
葜	kʰɑˀ⁵⁵
押	kʰɑˀ⁵⁵
尻	kʰɔ⁵³
考	kʰɔ²³
拷	kʰɔ²³
栲	kʰɔ²³
烤	kʰɔ²³
铐	kʰɔ²³
犒	kʰɔ³⁴
靠	kʰɔ³⁴
硗	kʰɔ⁵³
敲	kʰɔ⁵³
刊	kʰø⁵³
勘	kʰø⁵³
龛	kʰø⁵³
堪	kʰø⁵³
戡	kʰø⁵³
坎	kʰø²³
侃	kʰø²³
砍	kʰø²³
看	kʰø³⁴
阚	kʰø³⁴
瞰	kʰø³⁴
肯	kʰəŋ²³
垦	kʰəŋ²³
恳	kʰəŋ²³
啃	kʰəŋ²³
掯	kʰəŋ³⁴
硍	kʰəŋ³⁴
壳	kʰoˀ⁵⁵
恪	kʰoˀ⁵⁵
哭	kʰoˀ⁵⁵
喾	kʰoˀ⁵⁵
酷	kʰoˀ⁵⁵
扩	kʰoˀ⁵⁵
廓	kʰoˀ⁵⁵
悫	kʰoˀ⁵⁵
榷	kʰoˀ⁵⁵
抠	kʰɤ⁵³
芤	kʰɤ⁵³
眍	kʰɤ⁵³
口	kʰɤ²³
叩	kʰɤ³⁴
扣	kʰɤ³⁴
寇	kʰɤ³⁴
筘	kʰɤ³⁴
蔻	kʰɤ³⁴
颃	kʰɑ̃³⁴
砊	kʰɑ̃⁵³
康	kʰɑ̃⁵³
慷	kʰɑ̃⁵³
糠	kʰɑ̃⁵³
亢	kʰɑ̃³⁴
伉	kʰɑ̃³⁴
囥	kʰɑ̃³⁴
抗	kʰɑ̃³⁴
闶	kʰɑ̃³⁴
炕	kʰɑ̃³⁴
钪	kʰɑ̃³⁴
开	kʰɛ⁵³
锎	kʰɛ⁵³
凯	kʰɛ²³
垲	kʰɛ²³
恺	kʰɛ²³
铠	kʰɛ²³
慨	kʰɛ²³
忾	kʰɛ³⁴
巛	kʰuəŋ⁵³
坤	kʰuəŋ⁵³
昆	kʰuəŋ⁵³
琨	kʰuəŋ⁵³
髡	kʰuəŋ⁵³
醌	kʰuəŋ⁵³
鲲	kʰuəŋ⁵³
悃	kʰuəŋ²³
捆	kʰuəŋ²³
阃	kʰuəŋ²³
困	kʰuəŋ³⁴
睏	kʰuəŋ³⁴
筺	kʰuɑ̃
堀	kʰuəˀ⁵⁵
窟	kʰuəˀ⁵⁵
阔	kʰuəˀ⁵⁵
抲	kʰu⁵³
蚵	kʰu⁵³
坷	kʰu²³
苛	kʰu⁵³
柯	kʰu⁵³
珂	kʰu⁵³
科	kʰu⁵³
轲	kʰu⁵³
棵	kʰu⁵³
稞	kʰu⁵³
窠	kʰu⁵³
颗	kʰu⁵³
蝌	kʰu⁵³
髁	kʰu⁵³
可	kʰu²³
岢	kʰu²³
课	kʰu³⁴
骒	kʰu³⁴
刳	kʰu⁵³
枯	kʰu⁵³
跍	kʰu⁵³
骷	kʰu⁵³
苦	kʰu²³
库	kʰu³⁴
绔	kʰu³⁴
裤	kʰu³⁴
夸	kʰo⁵³
垮	kʰo²³
挎	kʰo³⁴
胯	kʰo³⁴
跨	kʰo³⁴
呙	kʰua⁵³
蒯	kʰua²³
快	kʰua³⁴
哙	kʰua³⁴
筷	kʰua³⁴
蒉	kʰua³⁴
瞌	kʰəˀ⁵⁵
磕	kʰəˀ⁵⁵
咳	kʰəˀ⁵⁵
渴	kʰəˀ⁵⁵
克	kʰəˀ⁵⁵
刻	kʰəˀ⁵⁵
氪	kʰəˀ⁵⁵
溘	kʰəˀ⁵⁵
空	kʰoŋ⁵³
倥	kʰoŋ⁵³
崆	kʰoŋ⁵³
箜	kʰoŋ⁵³
孔	kʰoŋ²³
恐	kʰoŋ²³
控	kʰoŋ³⁴
嫘	lø⁵³
娈	lø²³
孪	lø⁵³
峦	lø⁵³
挛	lø⁵³
栾	lø⁵³
鸾	lø⁵³
脔	lø⁵³
滦	lø⁵³
銮	lø⁵³
卵	lø²³
乱	lø³⁴
冷	lã²³
啷	lɑ̃⁵³
郎	lɑ̃⁵³
狼	lɑ̃⁵³
莨	lɑ̃⁵³
廊	lɑ̃⁵³
琅	lɑ̃⁵³
榔	lɑ̃⁵³
稂	lɑ̃⁵³
锒	lɑ̃⁵³
螂	lɑ̃⁵³
朗	lɑ̃²³
阆	lɑ̃³⁴
浪	lɑ̃³⁴
蒗	lɑ̃³⁴
哴	lɑ̃⁵³
勒	lɑˀ¹²
在	lɑˀ¹²
了	lɑˀ¹²
垃	lɑˀ¹²
肋	lɑˀ¹²
漯	lɑˀ¹²
仂	lɑˀ¹²
叻	lɑˀ¹²
乐	lɔˀ¹²
六	lɔˀ¹²
咯	lɔˀ¹²
鹿	lɔˀ¹²
洛	lɔˀ¹²
来	lɛ⁵³
崃	lɛ⁵³
徕	lɛ⁵³
徕	lɛ³⁴
涞	lɛ⁵³
莱	lɛ⁵³
铼	lɛ⁵³
赉	lɛ³⁴
睐	lɛ³⁴
雷	lɛ⁵³
缧	lɛ⁵³
檑	lɛ⁵³
镭	lɛ⁵³
羸	lɛ⁵³
耒	lɛ²³
诔	lɛ²³
垒	lɛ²³
磊	lɛ²³
蕾	lɛ²³
儡	lɛ²³
洡	lɛ³⁴
类	lɛ³⁴
累	lɛ²³
累	lɛ³⁴
酹	lɛ³⁴
擂	lɛ⁵³
擂	lɛ³⁴
娄	lɤ⁵³
偻	lɤ⁵³
喽	lɤ⁵³
蒌	lɤ⁵³
楼	lɤ⁵³
耧	lɤ⁵³
蝼	lɤ⁵³
髅	lɤ⁵³
嵝	lɤ²³
搂	lɤ⁵³
篓	lɤ⁵³
陋	lɤ³⁴
漏	lɤ³⁴
瘘	lɤ³⁴
镂	lɤ³⁴
捞	lɔ⁵³
劳	lɔ⁵³
牢	lɔ⁵³
唠	lɔ⁵³
崂	lɔ⁵³
痨	lɔ⁵³
铹	lɔ⁵³
醪	lɔ⁵³
老	lɔ²³
佬	lɔ²³
姥	lɔ²³
栳	lɔ²³
铑	lɔ²³
涝	lɔ³⁴
耢	lɔ³⁴
尥	lɔ³⁴
萝	lɔ⁵³
塄	ləŋ⁵³
棱	ləŋ⁵³
楞	ləŋ⁵³
愣	ləŋ³⁴
邻	ləŋ⁵³
抡	ləŋ⁵³
仑	ləŋ⁵³
伦	ləŋ⁵³
囵	ləŋ⁵³
沦	ləŋ⁵³
纶	ləŋ⁵³
轮	ləŋ⁵³
论	ləŋ³⁴
拉	la⁵³
啦	la⁵³
靓	liɑ̃³⁴
俩	liɑ̃²³
良	liɑ̃⁵³
凉	liɑ̃⁵³
梁	liɑ̃⁵³
椋	liɑ̃⁵³
粮	liɑ̃⁵³
粱	liɑ̃⁵³
墚	liɑ̃⁵³
两	liɑ̃²³
魉	liɑ̃²³
亮	liɑ̃³⁴
哴	liɑ̃³⁴
谅	liɑ̃³⁴
辆	liɑ̃²³
晾	liɑ̃³⁴
量	liɑ̃³⁴
摷	liɔ⁵³
潦	liɔ⁵³
辽	liɔ⁵³
疗	liɔ⁵³
聊	liɔ⁵³
僚	liɔ⁵³
寥	liɔ⁵³
廖	liɔ³⁴
嘹	liɔ⁵³
寮	liɔ⁵³
撩	liɔ⁵³
缭	liɔ⁵³
燎	liɔ⁵³
镣	liɔ³⁴
鹩	liɔ⁵³
蓼	liɔ²³
了	liɔ²³
料	liɔ³⁴
撂	liɔ³⁴
瞭	liɔ²³
溜	liɤ⁵³
熘	liɤ⁵³
